_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
64a2bf7173193c702ed5aa77,,52.38,93.29,59.58,79.54,131;7;0;1,time,30,-1,3,30.01,0,34.32,false,false,english,none,normal,false,false,false,,1688387441000
64a2b92d73193c702ec835e5,,47.2,92.81,55.6,78.79,118;6;0;2,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688385837000
64a2b90d73193c702ec834f6,,49.18,93.53,55.58,82.84,123;6;0;0,time,30,-1,3,30.01,0,43.06,false,false,english,none,normal,false,false,false,,1688385805000
64a2b83973193c702ec18f10,,54,94.7,60.4,71.68,135;5;0;3,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688385593000
64a292f873193c702e7e3971,,51.2,84.08,62.4,82.43,128;16;3;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688376056000
64a28dcf73193c702e70d37c,,50.4,92.05,60.4,79.17,126;7;1;1,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688374735000
64a28dab73193c702e70d27d,,45.18,82.76,57.98,67.04,113;16;3;1,time,30,-1,1,30.01,1,3.97,false,false,english,none,normal,false,false,false,,1688374699000
64a22e7173193c702ebbab67,,55.58,90.51,63.18,80.43,139;9;3;0,time,30,-1,2,30.01,0,12.23,false,false,english,none,normal,false,false,false,,1688350321000
64a2289573193c702eb4eee7,,37.99,86.36,52.78,76.82,95;10;3;0,time,30,-1,2,30.01,0,13.89,false,false,english,none,normal,false,false,false,,1688348821000
64a2286573193c702eb4edd7,,36.39,87.3,50.38,76.67,91;8;3;4,time,30,-1,2,30.01,0,15.99,false,false,english,none,normal,false,false,false,,1688348773000
64a2251473193c702eae3f18,,54.4,98.58,56.4,78.62,136;1;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688347924000
64a1187173193c702eaa55be,,51.18,88.27,64.38,82.37,128;11;1;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688279153000
64a1175f73193c702eaa4fc1,,58.4,98.09,62.8,77.56,146;1;1;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688278879000
64a0fe3e73193c702e7b7bb8,,41.59,83.56,57.58,79.64,104;11;3;7,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688272446000
64a0fe1d73193c702e7b7afd,,46.4,89.21,55.6,80.31,116;9;1;1,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688272413000
64a0fcd073193c702e74d718,,50.4,92.62,59.6,84.86,126;6;1;1,time,30,-1,1,30,0,2.58,false,false,english,none,normal,false,false,false,,1688272080000
64a0da2873193c702e35557a,,52.78,93.84,58.38,77.04,132;7;0;3,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688263208000
64a0da0873193c702e32062c,,46.8,91.73,53.2,82.84,117;8;0;0,time,30,-1,2,30,0,24.21,false,false,english,none,normal,false,false,false,,1688263176000
